reg,cl_age90,jour,hosp,rea,HospConv,SSR_USLD,autres,rad,dc
1,9,2021-01-03,0,0,,,,21,0
44,9,2021-04-01,1,0,1.0,0.0,0.0,230,1
75,19,2021-04-14,2,1,0.0,0.0,1.0,115,0
4,19,2021-03-02,0,0,,,,34,1
52,39,2021-04-04,22,4,18.0,0.0,0.0,431,3
6,89,2021-07-18,0,0,0.0,0.0,0.0,64,30
3,39,2021-06-09,15,4,9.0,0.0,2.0,547,1
93,9,2021-06-24,4,0,3.0,1.0,0.0,307,0
94,39,2021-05-07,3,1,0.0,2.0,0.0,49,1
76,29,2021-03-25,14,1,12.0,0.0,1.0,435,4
84,79,2021-01-15,969,157,,,,6432,1548
53,0,2021-04-30,809,106,453.0,204.0,46.0,6859,1501
4,89,2021-01-19,4,1,,,,64,14
1,9,2020-12-20,0,0,,,,21,0
27,90,2021-03-23,140,1,85.0,54.0,0.0,1892,984
32,29,2021-01-05,15,0,,,,563,2
44,39,2021-05-05,56,12,34.0,9.0,1.0,1521,31
24,89,2021-06-26,51,1,18.0,32.0,0.0,2840,1110
52,19,2021-05-03,4,1,3.0,0.0,0.0,74,0
32,49,2021-05-13,174,64,94.0,16.0,0.0,2697,59
3,9,2021-01-11,0,0,,,,118,0
4,69,2020-12-29,10,2,,,,153,12
28,49,2021-02-03,38,4,,,,444,21
93,49,2021-02-28,97,28,,,,1937,31
94,0,2021-04-04,92,16,63.0,10.0,3.0,766,171
24,69,2021-01-20,130,34,,,,1066,116
1,89,2021-03-24,11,0,10.0,1.0,0.0,108,47
93,39,2021-06-14,20,2,11.0,6.0,1.0,2126,13
44,49,2021-05-29,64,19,35.0,9.0,1.0,2629,84
53,9,2021-03-11,0,0,,,,46,0
24,39,2021-05-28,13,4,6.0,2.0,1.0,499,3
6,89,2021-07-15,0,0,0.0,0.0,0.0,64,30
75,90,2021-05-23,137,2,83.0,52.0,0.0,1891,1007
24,59,2021-06-28,40,9,14.0,15.0,2.0,1582,77
3,69,2021-06-29,32,14,15.0,3.0,0.0,381,37
53,39,2021-04-23,11,0,10.0,0.0,1.0,312,3
93,29,2021-01-07,8,1,,,,791,2
32,39,2021-02-15,32,9,,,,1016,12
84,59,2021-02-17,252,51,,,,3971,188
6,29,2021-05-23,1,0,1.0,0.0,0.0,179,1
93,0,2021-06-21,1006,155,243.0,592.0,16.0,40307,8017
4,90,2020-12-16,0,0,,,,7,0
94,19,2021-02-19,0,0,,,,4,0
3,29,2021-05-02,3,1,2.0,0.0,0.0,473,3
93,59,2021-06-24,111,30,28.0,48.0,5.0,5546,217
3,49,2021-01-09,2,0,,,,278,3
4,0,2021-05-10,167,39,99.0,29.0,0.0,1536,177
32,79,2021-05-22,590,113,294.0,181.0,2.0,7259,2057
2,79,2021-02-03,8,1,,,,72,12
4,19,2021-03-21,0,0,0.0,0.0,0.0,38,1
4,79,2021-01-01,8,1,,,,108,18
27,0,2021-07-17,293,22,119.0,143.0,9.0,19889,4844
27,79,2020-12-26,442,72,,,,2075,513
24,89,2021-04-11,300,15,145.0,140.0,0.0,2301,945
32,49,2020-12-24,59,10,,,,1302,32
94,89,2021-02-20,29,1,,,,119,55
76,9,2020-12-18,1,0,,,,88,0
94,39,2020-12-07,0,0,,,,30,1
11,0,2021-01-11,4745,559,,,,56129,12531
52,89,2021-06-11,86,5,44.0,37.0,0.0,3259,1143
27,39,2021-06-19,11,2,5.0,1.0,3.0,730,10
11,49,2021-01-02,160,37,,,,5280,216
3,59,2021-07-29,17,6,8.0,0.0,3.0,394,29
27,0,2020-12-02,1695,226,,,,7671,1977
32,29,2021-08-01,19,3,14.0,2.0,0.0,1086,6
28,0,2021-07-24,413,39,173.0,200.0,1.0,14647,3401
75,39,2021-01-13,21,0,,,,361,2
75,89,2021-01-20,447,23,,,,2145,866
76,39,2021-02-11,15,2,,,,551,3
27,9,2021-01-07,0,0,,,,52,0
2,69,2020-12-05,9,5,,,,74,7
53,9,2021-06-14,1,0,1.0,0.0,0.0,63,0
4,39,2021-07-21,12,6,6.0,0.0,0.0,229,5
1,90,2021-06-27,4,0,2.0,2.0,0.0,39,20
11,69,2021-04-26,1582,575,750.0,242.0,15.0,15435,2540
84,9,2021-02-17,1,0,,,,218,0
2,59,2021-06-05,6,2,3.0,1.0,0.0,164,9
52,69,2021-04-01,139,43,74.0,21.0,1.0,1504,196
94,59,2021-07-20,4,2,0.0,1.0,1.0,139,8
28,49,2021-05-17,53,11,27.0,14.0,1.0,827,33
1,29,2021-08-03,6,2,4.0,0.0,0.0,46,0
44,39,2021-04-09,53,10,39.0,3.0,1.0,1347,28
6,9,2021-07-11,0,0,0.0,0.0,0.0,31,0
76,90,2021-06-02,70,0,24.0,46.0,0.0,2119,1184
4,89,2021-03-04,9,0,,,,72,18
32,49,2021-02-09,73,10,,,,1533,38
24,19,2021-08-01,0,0,0.0,0.0,0.0,85,0
53,59,2020-03-27,31,14,,,,19,0
76,49,2021-01-27,51,14,,,,828,15
44,89,2021-05-08,512,16,302.0,190.0,4.0,8247,3972
76,9,2021-01-09,3,0,,,,95,0
4,0,2021-07-22,139,41,68.0,30.0,0.0,2248,277
93,59,2021-02-21,268,75,,,,3308,129
3,79,2021-01-21,5,3,,,,128,18
